,"Chinese_by夏堇"
"_GrabBlurDistance","模糊距离"
"_GrabBlurQuality","模糊质量"
"_GrabBlurDirections","模糊方向"
"m_end_Blur","模糊结束"
"m_end_GrabPass","GrabPass透明度结束"
"m_shatterWaveCategory","粉碎波"
"_WaveMask","波浪遮罩"
"_WaveMaskPan","波浪遮罩平移"
"_WaveMaskUV","波浪遮罩UV"
"_WaveMaskChannel","波浪遮罩通道"
"_WaveVertexMask","顶点颜色遮罩"
"_WaveColor","波浪颜色"
"_WaveTexture","波浪纹理"
"_WaveTexturePan","平移"
"_WaveTextureUV","UV"
"_WaveEmission","波发射"
"_WaveGlobalMaskIndex","适用于全局遮罩"
"_WaveGlobalMaskBlendType","混合"
"_ShowUnderWave","波浪下的展示"
"_UnderWaveColor","波浪色下"
"_UnderWaveTexture","波浪纹理下"
"_UnderWaveTexturePan","平移"
"_UnderWaveTextureUV","UV"
"_UnderWaveEmission","波下发射"
"_UnderWaveGlobalMaskIndex","适用于全局遮罩"
"_UnderWaveGlobalMaskBlendType","混合"
"_WaveSpeed","波速 X Y Z"
"_WaveSlope","波斜率 X Y Z"
"_WaveDensity","波密度 X Y Z"
"_WaveHeightThreshold","波高度阈值"
"_WaveHeight","波高"
"m_start_shatterWaveAudioLink","音频链接"
"_ShatterWaveAudioLinkEnabled","音频链接"
"_WaveEmissionALMultiplierBand","发射倍增带"
"_WaveEmissionALMultiplier","发射倍增器"
"_WaveEmissionALAddBand","发射添加波段"
"_WaveEmissionALAdd","发射添加"
"_WaveHeightALMultiplierBand","波高倍增带"
"_WaveHeightALMultiplier","波高倍增器"
"_WaveHeightALAddBand","波高添加波段"
"_WaveHeightALAdd","波高添加"
"_WaveHeightThresholdALMultiplierBand","波高阈值倍增带"
"_WaveHeightThresholdALMultiplier","波高阈值倍增器"
"_WaveHeightThresholdALAddBand","波高阈值添加波段"
"_WaveHeightThresholdALAdd","波高阈值添加"
"_WaveChronoBand","计时波段"
"_WaveChronoType","计时运动类型"
"_WaveChronoSpeed","计时速度"
"_WaveChronoIntensity","计时强度"
"m_end_shatterWaveAudioLink","音频链接"
"Uniform","均匀"
"Edge Length","边长"
"Distance","距离"
"m_tessellationCategory","镶嵌"
"_TessellationAMDMoment","曲面细分可能会导致某些 AMD GPU 出现问题 - 使用高因子时要小心。"
"_TessellationType","镶嵌类型"
"_TessellationUniform","均匀系数"
"_TessellationDistance","距离"
"_TessellationEdgeLength","边长（像素）"
"_TessellationPhong","Phong 着色"
"m_start_bakedLighting","烘焙照明"
"_GIEmissionMultiplier","GI 发射倍增器"
"DSGI","动态全局光照（DSGI）"
"LightmapFlags","光照贴图标志"
"m_end_bakedLighting","烘焙照明"
"shader_properties_locale","a9ded5748adc25d44811208bd0acff92"
"_ShaderUIWarning0"," → discord.gg/poiyomi ←    We can help you get it fixed!
https://space.bilibili.com/32407017  夏堇翻译                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
"_ShaderUIWarning1","Please scroll up for more information!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
"_AlphaDitherBias","抖动偏差"
"_AlphaDistanceFadeGlobalMask","全局遮罩"
"_AlphaFresnelGlobalMask","全局遮罩"
"_AlphaAngularGlobalMask","全局遮罩"
"_DetailTexGlobalMask","细节纹理全局遮罩"
"_DetailTexGlobalMaskBlendType","混合"
"_DetailNormalGlobalMask","细节法线全局遮罩"
"_DetailNormalGlobalMaskBlendType","混合"
"_VertexSphereMode","<size=13><b>球模式</b></size>"
"_VertexSphereRadius","球半径"
"_VertexSphereHeight","球高度"
"_VertexSphereAlpha","球 Alpha"
"_VertexSphereCenter","球中心"
"_VertexSpectrumMotion","<size=13><b>光谱运动</b></size>"
"_VertexSpectrumUV","UV"
"_VertexSpectrumUVDirection","UV 方向"
"_VertexSpectrumOffsetMin","最小偏移"
"_VertexSpectrumOffsetMax","最大偏移"
"_RgbRedMaskChannel","遮罩通道"
"_RgbRedGlobalMaskChannel","全局遮罩"
"_RgbRedGlobalMaskBlendType","混合"
"_RgbGreenMaskChannel","遮罩通道"
"_RgbGreenGlobalMaskChannel","全局遮罩"
"_RgbGreenGlobalMaskBlendType","混合"
"_RgbBlueMaskChannel","遮罩通道"
"_RgbBlueGlobalMaskChannel","全局遮罩"
"_RgbBlueGlobalMaskBlendType","混合"
"_RgbAlphaMaskChannel","遮罩通道"
"_RgbAlphaGlobalMaskChannel","全局遮罩"
"_RgbAlphaGlobalMaskBlendType","混合"
"_RgbNormalRMaskChannel","遮罩通道"
"_RgbNormalRGlobalMaskChannel","全局遮罩"
"_RgbNormalRGlobalMaskBlendType","混合"
"_RgbNormalGMaskChannel","遮罩通道"
"_RgbNormalGGlobalMaskChannel","全局遮罩"
"_RgbNormalGGlobalMaskBlendType","混合"
"_RgbNormalBMaskChannel","遮罩通道"
"_RgbNormalBGlobalMaskChannel","全局遮罩"
"_RgbNormalBGlobalMaskBlendType","混合"
"_RgbNormalAMaskChannel","遮罩通道"
"_RgbNormalAGlobalMaskChannel","全局遮罩"
"_RgbNormalAGlobalMaskBlendType","混合"
"g_start_decal_position","位置"
"g_end_decal_position","位置"
"g_start_decal1_position","位置"
"g_end_decal1_position","位置"
"g_start_decal2_position","位置"
"g_end_decal2_position","位置"
"g_start_decal3_position","位置"
"g_end_decal3_position","位置"
"m_start_GlobalMaskModifiersDistance","距离遮罩"
"_GlobalMaskModifiersDistanceEnable","全局遮罩相机"
"m_start_GlobalMaskDistanceM_0","1R"
"_GlobalMaskDistanceType_0","使用位置"
"_GlobalMaskDistanceMin_0","最小距离"
"_GlobalMaskDistanceMax_0","最大距离"
"_GlobalMaskDistanceMinAlpha_0","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_0","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_0","混合"
"m_start_GlobalMaskDistanceM_1","1G"
"_GlobalMaskDistanceType_1","使用位置"
"_GlobalMaskDistanceMin_1","最小距离"
"_GlobalMaskDistanceMax_1","最大距离"
"_GlobalMaskDistanceMinAlpha_1","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_1","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_1","混合"
"m_start_GlobalMaskDistanceM_2","1B"
"_GlobalMaskDistanceType_2","使用位置"
"_GlobalMaskDistanceMin_2","最小距离"
"_GlobalMaskDistanceMax_2","最大距离"
"_GlobalMaskDistanceMinAlpha_2","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_2","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_2","混合"
"m_start_GlobalMaskDistanceM_3","1A"
"_GlobalMaskDistanceType_3","使用位置"
"_GlobalMaskDistanceMin_3","最小距离"
"_GlobalMaskDistanceMax_3","最大距离"
"_GlobalMaskDistanceMinAlpha_3","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_3","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_3","混合"
"m_start_GlobalMaskDistanceM_4","2R"
"_GlobalMaskDistanceType_4","使用位置"
"_GlobalMaskDistanceMin_4","最小距离"
"_GlobalMaskDistanceMax_4","最大距离"
"_GlobalMaskDistanceMinAlpha_4","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_4","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_4","混合"
"m_start_GlobalMaskDistanceM_5","2G"
"_GlobalMaskDistanceType_5","使用位置"
"_GlobalMaskDistanceMin_5","最小距离"
"_GlobalMaskDistanceMax_5","最大距离"
"_GlobalMaskDistanceMinAlpha_5","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_5","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_5","混合"
"m_start_GlobalMaskDistanceM_6","2B"
"_GlobalMaskDistanceType_6","使用位置"
"_GlobalMaskDistanceMin_6","最小距离"
"_GlobalMaskDistanceMax_6","最大距离"
"_GlobalMaskDistanceMinAlpha_6","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_6","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_6","混合"
"m_start_GlobalMaskDistanceM_7","2A"
"_GlobalMaskDistanceType_7","使用位置"
"_GlobalMaskDistanceMin_7","最小距离"
"_GlobalMaskDistanceMax_7","最大距离"
"_GlobalMaskDistanceMinAlpha_7","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_7","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_7","混合"
"m_start_GlobalMaskDistanceM_8","3R"
"_GlobalMaskDistanceType_8","使用位置"
"_GlobalMaskDistanceMin_8","最小距离"
"_GlobalMaskDistanceMax_8","最大距离"
"_GlobalMaskDistanceMinAlpha_8","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_8","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_8","混合"
"m_start_GlobalMaskDistanceM_9","3G"
"_GlobalMaskDistanceType_9","使用位置"
"_GlobalMaskDistanceMin_9","最小距离"
"_GlobalMaskDistanceMax_9","最大距离"
"_GlobalMaskDistanceMinAlpha_9","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_9","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_9","混合"
"m_start_GlobalMaskDistanceM_10","3B"
"_GlobalMaskDistanceType_10","使用位置"
"_GlobalMaskDistanceMin_10","最小距离"
"_GlobalMaskDistanceMax_10","最大距离"
"_GlobalMaskDistanceMinAlpha_10","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_10","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_10","混合"
"m_start_GlobalMaskDistanceM_11","3A"
"_GlobalMaskDistanceType_11","使用位置"
"_GlobalMaskDistanceMin_11","最小距离"
"_GlobalMaskDistanceMax_11","最大距离"
"_GlobalMaskDistanceMinAlpha_11","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_11","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_11","混合"
"m_start_GlobalMaskDistanceM_12","4R"
"_GlobalMaskDistanceType_12","使用位置"
"_GlobalMaskDistanceMin_12","最小距离"
"_GlobalMaskDistanceMax_12","最大距离"
"_GlobalMaskDistanceMinAlpha_12","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_12","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_12","混合"
"m_start_GlobalMaskDistanceM_13","4G"
"_GlobalMaskDistanceType_13","使用位置"
"_GlobalMaskDistanceMin_13","最小距离"
"_GlobalMaskDistanceMax_13","最大距离"
"_GlobalMaskDistanceMinAlpha_13","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_13","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_13","混合"
"m_start_GlobalMaskDistanceM_14","4B"
"_GlobalMaskDistanceType_14","使用位置"
"_GlobalMaskDistanceMin_14","最小距离"
"_GlobalMaskDistanceMax_14","最大距离"
"_GlobalMaskDistanceMinAlpha_14","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_14","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_14","混合"
"m_start_GlobalMaskDistanceM_15","4A"
"_GlobalMaskDistanceType_15","使用位置"
"_GlobalMaskDistanceMin_15","最小距离"
"_GlobalMaskDistanceMax_15","最大距离"
"_GlobalMaskDistanceMinAlpha_15","最小距离 Alpha"
"_GlobalMaskDistanceMaxAlpha_15","最大距离 Alpha"
"_GlobalMaskDistanceBlendType_15","混合"
"_LightDataAOGlobalMaskR","全局遮罩"
"_LightDataAOGlobalMaskBlendTypeR","混合"
"_LightDataDetailShadowGlobalMaskR","全局遮罩"
"_LightDataDetailShadowGlobalMaskBlendTypeR","混合"
"_LightDataShadowMaskGlobalMaskR","全局遮罩"
"_LightDataShadowMaskGlobalMaskBlendTypeR","混合"
"_LightingAdditiveCastedShadows","接收投射阴影"
"g_start_MultilayerMath1stLayer","层 1"
"_ShadowReceive","接收阴影"
"g_end_MultilayerMath1stLayer","层 1"
"g_start_MultilayerMath2ndLayer","层 2"
"_Shadow2ndReceive","接收阴影"
"g_end_MultilayerMath2ndLayer","层 2"
"g_start_MultilayerMath3rdLayer","层 3"
"_Shadow3rdReceive","接收阴影"
"g_end_MultilayerMath3rdLayer","层 3"
"g_start_MultilayerMathBorder","边界"
"g_end_MultilayerMathBorder","边界"
"_MatcapBaseColorMix","基础颜色混合"
"_MatcapUVToBlend","混合 UV"
"_MatCapBlendUV1","UV 混合"
"_MatcapRotation","旋转"
"_MatcapScreen","屏幕混合"
"_MatcapSmoothnessEnabled","<size=13><b>模糊</b></size>"
"_MatcapSmoothness","平滑度"
"_MatcapMaskSmoothnessApply","应用平滑度遮罩"
"_MatcapMaskSmoothnessChannel","平滑度遮罩通道"
"_Matcap2BaseColorMix","基础颜色混合"
"_Matcap2UVToBlend","混合 UV"
"_MatCap2ndBlendUV1","UV 混合"
"_Matcap2Rotation","旋转"
"_Matcap2Screen","屏幕混合"
"_Matcap2SmoothnessEnabled","<size=13><b>模糊</b></size>"
"_Matcap2Smoothness","平滑度"
"_Matcap2MaskSmoothnessApply","应用平滑度遮罩"
"_Matcap2MaskSmoothnessChannel","平滑度遮罩通道"
"_Matcap3BaseColorMix","基础颜色混合"
"_Matcap3UVToBlend","混合 UV"
"_MatCap3rdBlendUV1","UV 混合"
"_Matcap3Rotation","旋转"
"_Matcap3Screen","屏幕混合"
"_Matcap3SmoothnessEnabled","<size=13><b>模糊</b></size>"
"_Matcap3Smoothness","平滑度"
"_Matcap3MaskSmoothnessApply","应用平滑度遮罩"
"_Matcap3MaskSmoothnessChannel","平滑度遮罩通道"
"_Matcap4BaseColorMix","基础颜色混合"
"_Matcap4UVToBlend","混合 UV"
"_MatCap4thBlendUV1","UV 混合"
"_Matcap4Rotation","旋转"
"_Matcap4Screen","屏幕混合"
"_Matcap4SmoothnessEnabled","<size=13><b>模糊</b></size>"
"_Matcap4Smoothness","平滑度"
"_Matcap4MaskSmoothnessApply","应用平滑度遮罩"
"_Matcap4MaskSmoothnessChannel","平滑度遮罩通道"
"_RimMaskInvert","反转遮罩"
"_RimBiasIntensity","偏差强度"
"_Set_RimLightMaskPan","平移"
"_Set_RimLightMaskUV","UV"
"_Set_RimLightMaskChannel","通道"
"_Rim2MaskInvert","反转遮罩"
"_Rim2BiasIntensity","偏差强度"
"_Set_Rim2LightMaskPan","平移"
"_Set_Rim2LightMaskUV","UV"
"_Set_Rim2LightMaskChannel","通道"
"_MochieMetallicGlobalMask","金属遮罩"
"_MochieMetallicGlobalMaskBlendType","混合"
"_MochieSmoothnessGlobalMask","平滑度遮罩"
"_MochieSmoothnessGlobalMaskBlendType","混合"
"_ClearCoatMapsClearCoatMaskChannel","透明涂层遮罩通道"
"_ClearCoatMapsRoughnessChannel","平滑度通道"
"_ClearCoatMapsReflectionMaskChannel","反射遮罩通道"
"_ClearCoatMapsSpecularMaskChannel","镜面遮罩通道"
"_ClearCoatGlobalMask","透明涂层遮罩"
"_ClearCoatGlobalMaskBlendType","混合"
"_ClearCoatSmoothnessGlobalMask","平滑度遮罩"
"_ClearCoatSmoothnessGlobalMaskBlendType","混合"
"_StylizedSpecularIgnoreNormal","忽略法线"
"_StylizedSpecularIgnoreShadow","忽略阴影"
"_PathALHistoryMode","历史模式"
"_PathALHistoryRangeR","R 范围"
"_PathALHistoryRangeG","G 范围"
"_PathALHistoryRangeB","B 范围"
"_PathALHistoryRangeA","A 范围"
"_PathALAutoCorrelatorMode","自动相关器模式"
"_PathALAutoCorrelatorRangeR","R 范围"
"_PathALAutoCorrelatorRangeG","G 范围"
"_PathALAutoCorrelatorRangeB","B 范围"
"_PathALAutoCorrelatorRangeA","A 范围"
"_PathALColorChord","<size=13><b>颜色和弦</b></size>"
"_DepthFXWarning","深度 FX 不会写入深度，这可能会破坏某些透明效果，例如自定义雾和光线行进"
"_IridescenceMaskInvert","反转遮罩"
"_IridescenceAudioLinkIntensityAddBand","强度带"
"_IridescenceAudioLinkIntensityAdd","强度模式"
"_IridescenceAudioLinkChronoPanType","计时平移类型"
"_IridescenceAudioLinkChronoPanBand","强度带"
"_IridescenceAudioLinkChronoPanSpeed","速度"
"_AudioLinkSmoothingBass","低音"
"_AudioLinkSmoothingLowMid","低中音"
"_AudioLinkSmoothingHighMid","高中音"
"_AudioLinkSmoothingTreble","高音"
"m_start_ALVolumeColor","AL ♫ 音量颜色"
"_EnableVolumeColor"," AL 音量颜色"
"_ALVolumeColorUV","UV"
"_ALVolumeColorDirection","UV 方向"
"_ALVolumeColorBlendType","混合类型"
"_ALVolumeColorBlendAlpha","Alpha"
"_ALVolumeColorLow","音量颜色低"
"_ALLowEmission","低排放"
"_ALVolumeColorMid","音量颜色中"
"_ALMidEmission","中等排放"
"_ALVolumeColorHigh","音量颜色高"
"_ALHighEmission","高排放"
"m_end_ALVolumeColor","AL ♫ 音量颜色"
"m_start_uvLocalWorld","本地世界 UV"
"_UVModLocalPos0","本地 X"
"_UVModLocalPos1","本地 Y"
"_UVModWorldPos0","世界 X"
"_UVModWorldPos1","世界 Y"
"m_end_uvLocalWorld","本地世界 UV"
"Min","最小值"
"Max","最大值"
"Average","平均值"
"World Pos","世界位置"
"Local Pos","本地位置"
"_AlphaMask","Alpha 遮罩"
"_AlphaMaskPan","平移"
"_AlphaMaskUV","UV"
"_MainAlphaMaskMode","主 Alpha 遮罩模式"
"_AlphaMaskScale","遮罩缩放"
"_AlphaMaskValue","遮罩值"
"_AlphaMaskInvert","反转遮罩"
"m_start_ColorAdjust","颜色调整"
"s_start_MainHueShift","主色调偏移"
"s_start_MainHueShiftAL","主色调偏移AL"
"s_end_MainHueShiftAL","主色调偏移AL结束"
"s_end_MainHueShift","主色调偏移结束"
"s_start_ColorAdjustColorGrading","颜色调整分级"
"_ColorGradingToggle","颜色分级切换"
"_MainGradationTex","主渐变纹理"
"_MainGradationStrength","主渐变强度"
"s_end_ColorAdjustColorGrading","结束颜色调整分级"
"s_start_MainHueShiftGlobalMask","主色调偏移全局遮罩"
"s_end_MainHueShiftGlobalMask","主色调偏移全局遮罩结束"
"m_end_ColorAdjust","结束颜色调整"
"s_start_AlphaToCoverage","Alpha 到覆盖"
"s_end_AlphaToCoverage","Alpha 到覆盖结束"
"s_start_AlphaDithering","Alpha 抖动"
"s_end_AlphaDithering","Alpha 抖动结束"
"s_start_AlphaDistanceFade","Alpha 距离渐隐"
"s_end_AlphaDistanceFade","Alpha 距离渐隐结束"
"s_start_AlphaFresnel","Alpha 菲涅耳"
"s_end_AlphaFresnel","Alpha 菲涅耳结束"
"s_start_AlphaAngular","Alpha 角度"
"s_end_AlphaAngular","Alpha 角度结束"
"s_start_ALAlpha","AL Alpha "
"s_end_ALAlpha","AL Alpha 结束"
"s_start_AlphaAdvanced","高级 Alpha "
"s_end_AlphaAdvanced","高级 Alpha 结束"
"s_start_DetailTexture","细节纹理"
"s_end_DetailTexture","细节纹理结束"
"s_start_DetailNormal","细节法线"
"s_end_DetailNormal","细节法线结束"
"s_start_VertexManipulationHeight","顶点操作高度"
"s_end_VertexManipulationHeight","顶点操作高度结束"
"s_start_vertexRounding","顶点圆角"
"s_end_vertexRounding","顶点圆角结束"
"s_start_VertexBarrelMode","顶点桶模式"
"s_end_VertexBarrelMode","顶点桶模式结束"
"s_start_VertexSphereMode","顶点球模式"
"s_end_VertexSphereMode","顶点球模式结束"
"s_start_VertexTornadoMode","顶点龙卷模式"
"_VertexTornadoMode","顶点龙卷模式"
"_VertexTornadoRadius","龙卷半径"
"_VertexTornadoIntensity","龙卷强度"
"_VertexTornadoSpeed","龙卷速度"
"_VertexTornadoTopHeight","龙卷顶部高度"
"_VertexTornadoBaseHeight","龙卷底部高度"
"s_end_VertexTornadoMode","顶点龙卷模式结束"
"s_start_VertAL","顶点AL"
"s_start_LocalTranslation","局部平移"
"s_end_LocalTranslation","局部平移结束"
"s_start_LocalRotation","局部旋转"
"s_end_LocalRotation","局部旋转结束"
"s_start_ContinuousRotation","连续旋转"
"s_end_ContinuousRotation","连续旋转结束"
"s_start_VertexScale","顶点缩放"
"s_end_VertexScale","顶点缩放结束"
"s_start_WorldTranslation","世界平移"
"s_end_WorldTranslation","世界平移结束"
"s_start_ALVertexHeight","AL顶点高度"
"s_end_ALVertexHeight","AL顶点高度结束"
"s_start_vertexRoundingAL","顶点圆角AL"
"s_end_VertexRoundingAL","顶点圆角AL结束"
"s_start_ALSpectrumMotion","AL频谱运动"
"s_end_ALSpectrumMotion","AL频谱运动结束"
"s_end_VertAL","顶点AL结束"
"s_start_VertexGlitchTexture","顶点故障纹理"
"s_end_VertexGlitchTexture","顶点故障纹理结束"
"s_start_VertexGlitchMirror","顶点故障镜像"
"s_end_VertexGlitchMirror","顶点故障镜像结束"
"s_start_ALVertexGlitching","AL顶点故障"
"s_end_ALVertexGlitching","AL顶点故障结束"
"s_start_BackFaceHueShift","背面色相偏移"
"s_end_BackFaceHueShift","结束背面色相偏移"
"s_start_BackfaceMods","背面修改"
"s_end_BackfaceMods","结束背面修改"
"_RGBMaskType","RGB遮罩类型"
"_RGBAMetallicMaps","RGBA金属贴图"
"_RGBAMetallicMapsPan","平移"
"_RGBAMetallicMapsUV","UV"
"_RGBAMetallicMapsStochastic","随机抽样"
"_RGBARedMetallicInvert","反转红色金属"
"_RGBAGreenMetallicInvert","反转绿色金属"
"_RGBABlueMetallicInvert","反转蓝色金属"
"_RGBAAlphaMetallicInvert","反转Alpha金属"
"_RGBASmoothnessMaps","RGBA光滑度贴图"
"_RGBASmoothnessMapsPan","平移"
"_RGBASmoothnessMapsUV","UV"
"_RGBASmoothnessMapsStochastic","随机抽样"
"_RGBARedSmoothnessInvert","反转红色光滑度"
"_RGBAGreenSmoothnessInvert","反转绿色光滑度"
"_RGBABlueSmoothnessInvert","反转蓝色光滑度"
"_RGBAAlphaSmoothnessInvert","反转Alpha光滑度"
"s_start_RGBRed","红色设置"
"_RGBARedEnable","红色"
"_RGBARedBlendType","红色混合类型"
"_RgbNormalRedBlendMode","红色法线混合模式"
"_RGBARedEmissionStrength","红色发射强度"
"_RGBAPBRRedEnabled","红色PBR"
"_RGBARedPBRSplitMaskSample","红色PBR遮罩采样"
"_RGBARedPBRMaskScaleTiling","红色PBR遮罩缩放和平铺"
"_RGBARedPBRUV","红色PBR UV"
"_RGBARedPBRSplitMaskStochastic","红色PBR遮罩随机抽样"
"_RGBARedPBRMasksPan","红色PBR遮罩平移"
"s_end_RGBRed","红色设置结束"
"s_start_RGBGreen","绿色设置"
"_RGBAGreenEnable","绿色"
"_RGBAGreenBlendType","绿色混合类型"
"_RgbNormalGreenBlendMode","绿色法线混合模式"
"_RGBAGreenEmissionStrength","绿色发射强度"
"_RGBAPBRGreenEnabled","绿色PBR"
"_RGBAGreenPBRSplitMaskSample","绿色PBR遮罩采样"
"_RGBAGreenPBRMaskScaleTiling","绿色PBR遮罩缩放和平铺"
"_RGBAGreenPBRUV","绿色PBR UV"
"_RGBAGreenPBRSplitMaskStochastic","绿色PBR遮罩随机抽样"
"_RGBAGreenPBRMasksPan","绿色PBR遮罩平移"
"s_end_RGBGreen","绿色设置结束"
"s_start_RGBBlue","蓝色设置"
"_RGBABlueEnable","蓝色"
"_RGBABlueBlendType","蓝色混合类型"
"_RgbNormalBlueBlendMode","蓝色法线混合模式"
"_RGBABlueEmissionStrength","蓝色发射强度"
"_RGBAPBRBlueEnabled","蓝色PBR"
"_RGBABluePBRSplitMaskSample","蓝色PBR遮罩采样"
"_RGBABluePBRMaskScaleTiling","蓝色PBR遮罩缩放和平铺"
"_RGBABluePBRUV","蓝色PBR UV"
"_RGBABluePBRSplitMaskStochastic","蓝色PBR遮罩随机抽样"
"_RGBABluePBRMasksPan","蓝色PBR遮罩平移"
"s_end_RGBBlue","蓝色设置结束"
"s_start_RGBAlpha","Alpha设置"
"_RGBAAlphaEnable","Alpha"
"_RGBAAlphaBlendType","Alpha混合类型"
"_RgbNormalAlphaBlendMode","Alpha法线混合模式"
"_RGBAAlphaEmissionStrength","Alpha发射强度"
"_RGBAPBRAlphaEnabled","Alpha PBR"
"_RGBAAlphaPBRSplitMaskSample","Alpha PBR遮罩采样"
"_RGBAAlphaPBRMaskScaleTiling","Alpha PBR遮罩缩放和平铺"
"_RGBAAlphaPBRUV","Alpha PBR UV"
"_RGBAAlphaPBRSplitMaskStochastic","Alpha PBR遮罩随机抽样"
"_RGBAAlphaPBRMasksPan","Alpha PBR遮罩平移"
"s_end_RGBAlpha","Alpha设置结束"
"s_start_decal_position","贴花位置设置"
"s_end_decal_position","贴花位置设置结束"
"_Decal0OverrideAlphaMode","贴花0覆盖Alpha模式"
"s_start_Decal0HueShift","贴花0色调偏移"
"s_end_Decal0HueShift","贴花0色调偏移结束"
"s_start_Decal0Video","贴花0视频设置"
"_Decal0VideoEnabled","贴花0视频"
"_Decal0VideoAspectFix","贴花0视频比例修正"
"_Decal0VideoFitToScale","贴花0视频适应比例"
"_Decal0UseDecalAlpha","使用贴花Alpha"
"_Decal0OnlyVideo","仅视频"
"_Decal0VideoEmissionStrength","贴花0视频发射强度"
"s_end_Decal0Video","贴花0视频设置结束"
"s_start_Decal0ChannelSeparation","贴花0通道分离"
"s_start_Decal0GlobalMasking","贴花0全局遮罩"
"_Decal0FaceMask","贴花0面部遮罩"
"s_end_Decal0GlobalMasking","贴花0全局遮罩结束"
"s_start_decal1_position","贴花1位置设置"
"s_end_decal1_position","贴花1位置设置结束"
"_Decal1OverrideAlphaMode","贴花1覆盖Alpha模式"
"s_start_Decal1HueShift","贴花1色调偏移"
"s_end_Decal1HueShift","贴花1色调偏移结束"
"s_start_Decal1Video","贴花1视频设置"
"_Decal1VideoEnabled","贴花1视频"
"_Decal1VideoAspectFix","贴花1视频比例修正"
"_Decal1VideoFitToScale","贴花1视频适应比例"
"_Decal1UseDecalAlpha","使用贴花1 Alpha"
"_Decal1OnlyVideo","仅视频"
"_Decal1VideoEmissionStrength","贴花1视频发射强度"
"s_end_Decal1Video","贴花1视频设置结束"
"s_start_Decal1ChannelSeparation","贴花1通道分离"
"s_start_Decal1GlobalMasking","贴花1全局遮罩"
"_Decal1FaceMask","贴花1面部遮罩"
"s_end_Decal1GlobalMasking","贴花1全局遮罩结束"
"s_start_decal2_position","贴花2位置设置"
"s_end_decal2_position","贴花2位置设置结束"
"_Decal2OverrideAlphaMode","贴花2覆盖Alpha模式"
"s_start_Decal2HueShift","贴花2色调偏移"
"s_end_Decal2HueShift","贴花2色调偏移结束"
"s_start_Decal2Video","贴花2视频设置"
"_Decal2VideoEnabled","贴花2视频"
"_Decal2VideoAspectFix","贴花2视频比例修正"
"_Decal2VideoFitToScale","贴花2视频适应比例"
"_Decal2UseDecalAlpha","使用贴花2 Alpha"
"_Decal2OnlyVideo","仅视频"
"_Decal2VideoEmissionStrength","贴花2视频发射强度"
"s_end_Decal2Video","贴花2视频设置结束"
"s_start_Decal2ChannelSeparation","贴花2通道分离"
"s_start_Decal2GlobalMasking","贴花2全局遮罩"
"_Decal2FaceMask","贴花2面部遮罩"
"s_end_Decal2GlobalMasking","贴花2全局遮罩结束"
"s_start_decal3_position","贴花3位置设置"
"s_end_decal3_position","贴花3位置设置结束"
"_Decal3TextureToUse","使用的贴花3纹理"
"_Decal3OverrideAlphaMode","贴花3覆盖Alpha模式"
"s_start_Decal3HueShift","贴花3色调偏移"
"s_end_Decal3HueShift","贴花3色调偏移结束"
"s_start_Decal3Video","贴花3视频设置"
"_Decal3VideoEnabled","贴花3视频"
"_Decal3VideoAspectFix","贴花3视频比例修正"
"_Decal3VideoFitToScale","贴花3视频适应比例"
"_Decal3UseDecalAlpha","使用贴花3 Alpha"
